Date,Time,Meal Type,Food Items
23-11-2023,2:13 PM,Lunch,"Roti (3 Piece), Alu Gobhi Sabji (100 gm), Rice (100 gm), Dal (100 gm)"
23-11-2023,6:32 PM,Snacks,"Popcorn (200 gm), Potato Chips (100 gm), Pepsi (250 ml)"
23-11-2023,10:06 PM,Dinner,"Dal (100 gm), Roti (2 Pieces)"
24-11-2023,9:40 AM,Breakfast,"Banana (70 gm), Almond Milk (200 ml)"
24-11-2023,1:49 PM,Lunch,"Roti (4 Piece), Alu Gobhi Sabji (150 gm)"
24-11-2023,4:27 PM,Snacks,"Puffed Rice (100 gm), Jaggery (50 gm), Namkeen (100 gm) "
24-11-2023,9:07 PM,Dinner,"Chana Masala (200 gm), Roti (3 Pieces), Milk (120 ml)"
25-11-2023,10:03 AM,Breakfast,"Veg Burger (150 gm), Ketchup (20 gm)"
25-11-2023,2:21 PM,Lunch,"Veg Biryani (200 gm), Raita (70 gm), Sambar (100 gm)"
25-11-2023,5:47 PM,Snacks,"Pomegrenate Orange Watermelon Pineapple Kiwi Banana (300 gm), Cold Coffee (150 ml)"
25-11-2023,9:08 PM,Dinner,"Chhole (150 gm), Pudi (6 Piece), Onion (30 gm), Cucumber (50 gm)"
26-11-2023,8:25 AM,Breakfast,"Gobhi Paratha (150 gm), Curd (100 gm), Tea (150 ml)"
26-11-2023,1:41 PM,Lunch,"Roti (4 Piece), Baingan Bharta (150 gm), Dal (100 gm)"
26-11-2023,8:46 PM,Dinner,"Ghee Roti (4 Piece), Alu Matar Tamatar Sabji (150 gm), Rice (70 gm), Urad Dal (100 gm), Onion (30 gm)"
27-11-2023,12:13 PM,Lunch,"Aloo Paratha (150 gm), Chhole (150 gm), Veg Fried Rice (100 gm), Kheer (100 gm), Kaju Katli (20 gm)"
27-11-2023,6:32 PM,Snacks,"Sweet Corn (100 gm), Samosa (50 gm), Tea (100 ml)"
27-11-2023,8:38 PM,Dinner,"Rajma Sabji (150 gm), Jeera Rice (100 gm)"
28-11-2023,7:28 AM,Breakfast,"Pongal (150 gm), Mehdu Vda (70 gm)"
28-11-2023,1:09 PM,Lunch,"Roti (2 Piece), Dal Makhani (150 gm), Rice (100 gm)"
28-11-2023,5:09 PM,Snacks,"Kachori (120 gm), Veg Cutlet (120 gm), Coca Cola (250 ml), Cotton Candy (50 gm)"
28-11-2023,9:26 PM,Dinner,"Chhole (150 gm), Bhature (150 gm), Onion (50 gm)"
29-11-2023,10:21 AM,Breakfast,"Soaked Almonds (20 gm), Cashew (20 gm), Soaked Chickpeas (70 gm), Tea (100 ml)"
29-11-2023,1:53 PM,Lunch,"Roti (3 Piece), Dal (150 gm), ButterSkotch Icecream (100 gm)"
29-11-2023,8:59 PM,Dinner,"Ghee Roti (3 Piece), Chana Dal (150 gm), Rice (80 gm)"
30-11-2023,9:12 AM,Breakfast,"Pudi (5 Piece), Alu Matar Sabji (100 gm) Tea (100 ml)"
30-11-2023,12:24 PM,Lunch,"Bati (200 gm), Baingan Bharta (150 gm), Dal (100 gm), Laddu (80 gm)"
30-11-2023,10:20 PM,Dinner,"Paratha (200 gm), Paneer Masala(150 gm), Rice (100 gm), Cucumber (50 gm), Onion Tomato (50 gm) "
01-12-2023,1:30 PM,Lunch,"Ghee Roti (3 Piece), Cabbage Sabji (100 gm), Dal (100 gm)"
01-12-2023,4:05 PM,Snacks,"Dark Chocolate (40 gm), Sweet Potato (150 gm), Tea (100 ml)"
01-12-2023,10:45 PM,Dinner,"Palak Paneer (150 gm), Malabar Paratha (120 gm), Rice (150 gm), Curd (100 gm), Gualab Jamun (60 gm)"
